Diss,Name,Artist,Category,Subcategory,Release Date,Release Order,Length of song (min),Streams
"Motherfuck the big three, nigga, it's just big me",Like That,Kendrick,Career and Talent,Commercial success/lack thereof,03/22/2024,1,4.45,675298020
And your best work is a light pack,Like That,Kendrick,Career and Talent,Artistic ability,03/22/2024,1,4.45,675298020
"Nigga, Prince outlived Mike Jack'",Like That,Kendrick,Career and Talent,Artistic ability,03/22/2024,1,4.45,675298020
Fore all your dogs gettin' buried,Like That,Kendrick,Violence and Threats,Implied Threats/Intimidation,03/22/2024,1,4.45,675298020
"That's a K with all these nines, he gon' see Pet Sematary",Like That,Kendrick,Violence and Threats,Implied Threats/Intimidation,03/22/2024,1,4.45,675298020
"Got 2TEEZ with me, I'm snatchin' chains and burnin' tattoos, it's up",Like That,Kendrick,Street Cred and Cultural Authenticity,Street Cred/Gang Reference,03/22/2024,1,4.45,675298020
You won't ever take no chain off of us,Push Ups,Drake,Street Cred and Cultural Authenticity,Street Cred/Gang Reference,04/13/2024,2,3.87,179639053
How the fuck you big steppin' with a size-seven men's on?,Push Ups,Drake,Physicality and Masculinity,Physical Attributes,04/13/2024,2,3.87,179639053
"This the bark with the bite, nigga, what's up?",Push Ups,Drake,Career and Talent,Goading/Provocation/Warning,04/13/2024,2,3.87,179639053
"Extortion baby, whole career, you been shook up
'Cause Top told you, ""Drop and give me fifty,"" like some push-ups, huh",Push Ups,Drake,Career and Talent,Commercial success/lack thereof,04/13/2024,2,3.87,179639053
"Extortion baby, whole career, you been shook up
'Cause Top told you, ""Drop and give me fifty,"" like some push-ups, huh",Push Ups,Drake,Street Cred and Cultural Authenticity,Street Cred/Gang Reference,04/13/2024,2,3.87,179639053
"Your last one bricked, you really not on shit",Push Ups,Drake,Career and Talent,Commercial success/lack thereof,04/13/2024,2,3.87,179639053
They make excuses for you 'cause they hate to see me lit,Push Ups,Drake,Career and Talent,Commercial success/lack thereof,04/13/2024,2,3.87,179639053
